item,list,objects_between_mention,distractor_with_target
3,1,2,d2
4,1,0,d2
7,1,2,d2
8,1,0,d2
11,1,1,d1
12,1,1,d1
15,1,1,d1
16,1,1,d1
19,1,0,d2
20,1,2,d2
23,1,0,d2
24,1,2,d2
27,1,1,d1
28,1,1,d1
31,1,1,d1
32,1,1,d1
2,2,2,d2
3,2,0,d2
6,2,2,d2
7,2,0,d2
10,2,1,d1
11,2,1,d1
14,2,1,d1
15,2,1,d1
18,2,0,d2
19,2,2,d2
22,2,0,d2
23,2,2,d2
26,2,1,d1
27,2,1,d1
30,2,1,d1
31,2,1,d1
1,3,2,d2
2,3,0,d2
5,3,2,d2
6,3,0,d2
9,3,1,d1
10,3,1,d1
13,3,1,d1
14,3,1,d1
17,3,0,d2
18,3,2,d2
21,3,0,d2
22,3,2,d2
25,3,1,d1
26,3,1,d1
29,3,1,d1
30,3,1,d1
1,4,0,d2
4,4,2,d2
5,4,0,d2
8,4,2,d2
9,4,1,d1
12,4,1,d1
13,4,1,d1
16,4,1,d1
17,4,2,d2
20,4,0,d2
21,4,2,d2
24,4,0,d2
25,4,1,d1
28,4,1,d1
29,4,1,d1
32,4,1,d1
